#id,name,request_email,notes,home_page,tag_string,valid_email,publication_scheme,_merge
fdapp-30189-01,Fédération départementale pour la pêche et la protection du milieu aquatique - Gard,accueilcdgardpeche@gmail.com,"Adresse : ZAC de Grézan - 34 rue Gustave-Eiffel,30034,Nîmes Cedex 1 | Tél : 04 66 02 91 61 | Fax : 04 66 02 91 62",http://www.federationpeche.fr30,fdapp,True,,left_only
fdc-30189-01,Fédération départementale des chasseurs - Gard,contact@fdc30.fr,"Adresse : 182 route de Sauve - BP 57012,30910,Nîmes Cedex 2 | Tél : 04 66 62 11 11 | Fax : 04 66 23 56 95",http://www.fdc30.fr,fdc,True,,left_only
gendarmerie-30130-01,Brigade de gendarmerie - Génolhac,bta.genolhac@gendarmerie.interieur.gouv.fr,"Adresse : Avenue de la Libération,30450,Génolhac | Tél : 04 66 61 10 63 | Fax : 04 66 61 26 18",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
gendarmerie-30132-01,Brigade de gendarmerie - La Grand-Combe,bta.la-grand-combe@gendarmerie.interieur.gouv.fr,"Adresse : 01110 Quai du 11 Novembre 01918,30110,La Grand-Combe | Tél : 04 66 34 06 08 | Fax : 04 66 34 43 55",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
gendarmerie-30156-01,Brigade de gendarmerie - Marguerittes,bta.marguerittes@gendarmerie.interieur.gouv.fr,"Adresse : 310 Allée Jacques Cartier,30320,Marguerittes | Tél : 04 66 75 39 40 | Fax : 04 66 75 68 11",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
gendarmerie-30258-01,Brigade de gendarmerie - Saint-Gilles (30),bta.st-gilles30@gendarmerie.interieur.gouv.fr,"Adresse : 19 Rue des Muscats,30800,Saint-Gilles | Tél : 04 66 87 10 00 | Fax : ",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
gendarmerie-30332-01,Brigade de gendarmerie - Trèves,bta.treves@gendarmerie.interieur.gouv.fr,"Adresse : Rue de la Poste,30750,Trèves | Tél : 04 67 82 70 01 | Fax : 04 67 82 65 87",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
greta-30007-01,Greta - Gard,greta-nimes@ac-montpellier.fr,"Adresse : 5 B rue Clovis,30900,Nîmes | Tél : 04 66 04 24 50 | Fax : 04 66 04 24 51",http://www.greta-gard.com,greta,True,,left_only
greta-30028-01,Greta - Gard,greta-bagnols@ac-montpellier.fr,"Adresse : Lycée polyvalent Albert-Einstein - Avenue Commando-Vigan-Braquet - BP 38165,30205,Bagnols-sur-Cèze Cedex | Tél : 04 66 04 24 50 | Fax : 04 34 39 30 16",http://www.gretalr.com,greta,True,,left_only
greta-30189-01,Greta - Nîmes,greta-nimes@ac-montpellier.fr,"Adresse : Lycée Dhuoda - 17 rue Dhuoda - BP 017155,30913,Nîmes Cedex | Tél : 04 66 04 24 50 | Fax : 04 66 04 24 51",http://www.gretamediterranee.fr,greta,True,,left_only
hypotheque-30189-01,Service de la publicité foncière (SPF) - Nîmes 1,spf.nimes1@dgfip.finances.gouv.fr,"Adresse : 67 rue Salomon-Reinach,30032,Nîmes Cedex 1 | Tél : 04 66 87 60 93 | Fax : ",http://www.impots.gouv.fr,hypotheque,True,,left_only
hypotheque-30189-02,Service de la publicité foncière (SPF) - Nîmes 2,spf.nimes2@dgfip.finances.gouv.fr,"Adresse : 67 rue Salomon-Reinach,30032,Nîmes Cedex 1 | Tél : 04 66 87 60 98 | Fax : ",http://www.impots.gouv.fr,hypotheque,True,,left_only
hypotheque-30189-03,Service de la publicité foncière (SPF) - Nîmes 3,spf.nimes3@dgfip.finances.gouv.fr,"Adresse : 67 rue Salomon Reinach,30032,Nîmes Cedex 1 | Tél : 04 66 87 60 60 | Fax : ",http://www.impots.gouv.fr,hypotheque,True,,left_only
inspection_academique-30189-01,Direction des services départementaux de l'Éducation nationale  (DSDEN) - Gard,ce.ia30@ac-montpellier.fr,"Adresse : 58 rue Rouget-de-Lisle,30000,Nîmes | Tél : 04 66 62 86 00 | Fax : 04 66 62 86 73",http://www.ac-montpellier.fria30,inspection_academique,True,,left_only
maia-30189-01,Mission d'accueil et d'information des associations (Maia) - Gard,isabelle.knowles@gard.gouv.fr,"Adresse : Direction départementale de la cohésion sociale - Mas de l'agriculture - 01120, route de Saint-Gilles - BP 39081,30972,Nîmes Cedex 9 | Tél : 04 30 08 61 23 | Fax : ",http://www.associations.gouv.fr,maia,True,,left_only
mairie-30001-01,Mairie - Aigaliers,mairie.aigaliers@orange.fr,"Adresse : Le Village - 280 Route Stéphane-Hessel,30700,Aigaliers | Tél : 04 66 22 10 58 | Fax : 04 66 22 01 68",http://aigaliers.net,mairie,True,,left_only
mairie-30002-01,Mairie - Aigremont,mairie-aigremont30@orange.fr,"Adresse : 3 rue de l'École,30350,Aigremont | Tél : 04 66 83 00 80 | Fax : 04 66 78 90 52",http://www.aigremont-gard.fr,mairie,True,,left_only
mairie-30003-01,Mairie - Aigues-Mortes,contact@ville-aigues-mortes.fr,"Adresse : Place Saint-Louis - BP 23,30220,Aigues-Mortes | Tél : 04 66 73 90 90 | Fax : 04 66 53 86 09",http://www.ville-aigues-mortes.fr,mairie,True,,left_only
mairie-30004-01,Mairie - Aigues-Vives,mairie@aigues-vives.fr,"Adresse : 108 Grand'rue,30670,Aigues-Vives | Tél : 04 66 35 33 63 | Fax : 04 66 35 04 56",http://www.aigues-vives.fr,mairie,True,,left_only
mairie-30005-01,Mairie - Aiguèze,mairie.aigueze@orange.fr,"Adresse : 3 place du Jeu-de-Paume,30760,Aiguèze | Tél : 04 66 82 14 77 | Fax : 04 66 82 35 26",http://www.aigueze.fr,mairie,True,,left_only
mairie-30006-01,Mairie - Aimargues,accueil.mairie@aimargues.fr,"Adresse : Place du 8-Mai-01945,30470,Aimargues | Tél : 04 66 73 12 12 | Fax : 04 66 88 54 00",http://www.aimargues.fr,mairie,True,,left_only
mairie-30007-01,Mairie - Alès,contact@ville-ales.fr,"Adresse : 9 place de l'Hôtel-de-Ville,30100,Alès | Tél : 04 66 56 11 00 | Fax : ",http://www.ales.fr,mairie,True,,left_only
mairie-30008-01,Mairie - Allègre-les-Fumades,mairie@allegre-les-fumades.fr,"Adresse : Maison de l'eau - Avenue des Thermes,30500,Allègre-les-Fumades | Tél : 04 66 24 81 91 | Fax : 04 66 24 81 31",http://www.allegre-les-fumades.fr,mairie,True,,left_only
mairie-30009-01,Mairie - Alzon,mairie.alzon@wanadoo.fr,"Adresse : Place de la Mairie,30770,Alzon | Tél : 04 67 82 01 63 | Fax : 04 67 82 02 37",http://www.alzon.fr,mairie,True,,left_only
mairie-30010-01,Mairie - Anduze,contact@mairie-anduze.com,"Adresse : Plan de Brie,30140,Anduze | Tél : 04 66 61 80 08 | Fax : 04 66 61 96 95",http://www.mairie-anduze.com,mairie,True,,left_only
