#id,name,request_email,notes,home_page,tag_string
mairie-56018-01,Mairie - Billiers,mairiedebilliers@orange.fr,"Adresse : 26 rue du Penher,56190,Billiers | Tél : 02 97 41 64 23 | Fax : 02 97 45 66 85",http://www.billiers.fr,mairie
mairie-56019-01,Mairie - Billio,mairie.billio@wanadoo.fr,"Adresse : 1 rue de la Fontaine,56420,Billio | Tél : 02 97 42 28 18 | Fax : 02 97 42 27 49",http://www.billio.fr,mairie
mairie-56020-01,Mairie - Bohal,mairie.bohal@wanadoo.fr,"Adresse : Place des Tilleuls,56140,Bohal | Tél : 02 97 75 14 25 | Fax : 02 97 75 28 79",http://www.bohal.fr,mairie
mairie-56021-01,Mairie - Brandérion,mairie@branderion.com,"Adresse : 3 rue Vincent-Renaud,56700,Brandérion | Tél : 02 97 32 92 37 | Fax : 02 97 32 92 39",http://www.branderion.com,mairie
mairie-56022-01,Mairie - Brandivy,mairie@brandivy.fr,"Adresse : Place de l'Église,56390,Brandivy | Tél : 02 97 56 03 74 | Fax : 02 97 56 06 11",http://www.brandivy.fr,mairie
mairie-56023-01,Mairie - Brech,accueil@brech.fr,"Adresse : 9 rue Georges-Cadoudal,56400,Brech | Tél : 02 97 57 79 90 | Fax : 02 97 57 52 67",http://www.brech.fr,mairie
mairie-56024-01,Mairie - Bréhan,brehan.mairie@wanadoo.fr,"Adresse : 4 rue Saint-Louis,56580,Bréhan | Tél : 02 97 38 81 31 | Fax : 02 97 38 88 22",http://www.brehan.fr,mairie
mairie-56026-01,Mairie - Bubry,mairie.bubry@gmail.com,"Adresse : Place Macroom,56310,Bubry | Tél : 02 97 51 70 07 | Fax : 02 97 51 72 62",http://www.bubry.fr,mairie
mairie-56027-01,Mairie - Buléon,mairie.buleon@wanadoo.fr,"Adresse : 1 rue de la Mairie,56420,Buléon | Tél : 02 97 75 33 94 | Fax : 02 97 75 36 08",http://www.buleon.fr,mairie
mairie-56028-01,Mairie - Caden,mairie.caden@wanadoo.fr,"Adresse : 9 rue de la Mairie,56220,Caden | Tél : 02 97 67 82 20 | Fax : 02 97 67 85 11",http://www.pays-questembert.fr,mairie
mairie-56029-01,Mairie - Calan,mairiecalan@wanadoo.fr,"Adresse : 2 place de l'Église,56240,Calan | Tél : 02 97 33 33 85 | Fax : 02 97 33 00 40",http://www.calan56.fr,mairie
mairie-56030-01,Mairie - Camoël,mairie.camoel@wanadoo.fr,"Adresse : 1 place de la Mairie,56130,Camoël | Tél : 02 99 90 00 76 | Fax : 02 99 90 07 81",http://www.camoel.fr,mairie
mairie-56031-01,Mairie - Camors,commune.de.camors@wanadoo.fr,"Adresse : Place de la Liberté,56330,Camors | Tél : 02 97 39 22 06 | Fax : ",http://www.camors56.fr,mairie
mairie-56032-01,Mairie - Campénéac,mairie@campeneac.fr,"Adresse : 10 place de la Mairie,56800,Campénéac | Tél : 02 97 93 40 39 | Fax : 02 97 93 11 29",http://www.campeneac.fr,mairie
mairie-56034-01,Mairie - Carnac,accueil@carnac.fr,"Adresse : Place de la Chapelle - BP 80,56341,Carnac Cedex | Tél : 02 97 52 06 86 | Fax : 02 97 52 62 10",http://www.carnac.fr,mairie
mairie-56035-01,Mairie - Caro,mairie.caro@wanadoo.fr,"Adresse : 4 rue Saint-Nicolas,56140,Caro | Tél : 02 97 74 61 39 | Fax : 02 97 74 63 84",http://www.mairie-caro56.fr,mairie
mairie-56036-01,Mairie - Caudan,mairie@caudan.fr,"Adresse : Place Le Léannec - BP 31,56854,Caudan Cedex | Tél : 02 97 80 59 20 | Fax : 02 97 80 59 21",http://www.caudan.fr,mairie
mairie-56040-01,Mairie - Cléguer,mairie@cleguer.fr,"Adresse : 19 rue Félix-le-Gleut,56620,Cléguer | Tél : 02 97 80 18 88 | Fax : 02 97 32 58 24",http://www.cleguer.fr,mairie
mairie-56042-01,Mairie - Colpo,mairie@colpo.fr,"Adresse : 12 avenue de la Princesse,56390,Colpo | Tél : 02 97 66 82 08 | Fax : 02 97 66 82 77",http://www.colpo.fr,mairie
mairie-56043-01,Mairie - Concoret,mairie@concoret.fr,"Adresse : 1 place de l'Audience,56430,Concoret | Tél : 02 97 22 61 19 | Fax : 02 97 22 93 17",http://www.concoret.fr,mairie
mairie-56044-01,Mairie - Cournon,mairiedecournon@wanadoo.fr,"Adresse : 1 rue de la Juberde,56200,Cournon | Tél : 02 99 08 12 76 | Fax : 02 99 08 05 50",,mairie
mairie-56045-01,Mairie - Le Cours,mairie.lecours@orange.fr,"Adresse : 8 rue de l'Arz,56230,Le Cours | Tél : 02 97 67 21 72 | Fax : ",,mairie
mairie-56046-01,Mairie - Crach,info@crach.fr,"Adresse : Place René-le-Mené - BP 31,56950,Crach | Tél : 02 97 55 03 17 | Fax : 02 97 55 09 06",http://www.crach.fr,mairie
mairie-56047-01,Mairie - Crédin,mairie@credin.fr,"Adresse : 45 place Abbé-Royer,56580,Crédin | Tél : 02 97 38 97 33 | Fax : ",http://www.credin.fr,mairie
mairie-56048-01,Mairie - Le Croisty,mairie-le-croisty@wanadoo.fr,"Adresse : 4 rue des Écoles,56540,Le Croisty | Tél : 02 97 51 60 03 | Fax : 02 97 51 69 07",,mairie
mairie-56049-01,Mairie - Croixanvec,mairie.croixanvec@orange.fr,"Adresse : Le Bourg,56920,Croixanvec | Tél : 02 97 51 41 91 | Fax : 02 97 51 41 91",,mairie
mairie-56050-01,Mairie - La Croix-Helléan,croixhellean.mairie@orange.fr,"Adresse : Place de la Mairie,56120,La Croix-Helléan | Tél : 02 97 22 24 15 | Fax : 02 97 73 92 88",,mairie
mairie-56051-01,Mairie - Cruguel,mairie.cruguel@orange.fr,"Adresse : 17 rue de la Mairie,56420,Cruguel | Tél : 02 97 73 01 48 | Fax : 02 97 73 02 43",http://www.cruguel.fr,mairie
mairie-56052-01,Mairie - Damgan,mairie@damgan.fr,"Adresse : 40 rue Fidèle-Habert,56750,Damgan | Tél : 02 97 41 10 19 | Fax : 02 97 41 22 40",http://www.damgan.fr,mairie
mairie-56053-01,Mairie - Elven,mairie@elven.fr,"Adresse : Place de Verdun - BP 9,56250,Elven | Tél : 02 97 53 31 13 | Fax : 02 97 53 34 68",http://www.elven.fr,mairie
mairie-56054-01,Mairie - Erdeven,mairieaccueil@erdeven.fr,"Adresse : Place de la Mairie,56410,Erdeven | Tél : 02 97 55 64 62 | Fax : 02 97 55 69 44",http://www.erdeven.fr,mairie
mairie-56055-01,Mairie - Étel,accueil@mairie-etel.fr,"Adresse : 3 place de la République - BP 38,56410,Étel | Tél : 02 97 55 35 19 | Fax : 02 97 55 20 15",http://www.mairie-etel.com,mairie
mairie-56056-01,Mairie - Évriguet,mairie.evriguet@wanadoo.fr,"Adresse : 1 place René-Marcadé,56490,Évriguet | Tél : 02 97 22 80 47 | Fax : 02 97 22 85 23",,mairie
mairie-56058-01,Mairie - Férel,info@ferel.fr,"Adresse : 1 place de la Mairie - BP 7,56130,Férel | Tél : 02 99 90 01 06 | Fax : 02 99 90 51 33",http://www.mairie-ferel.fr,mairie
mairie-56060-01,Mairie - Les Fougerêts,mairie.fougerets@wanadoo.fr,"Adresse : 15 rue de l'Oust,56200,Les Fougerêts | Tél : 02 99 91 54 42 | Fax : 02 99 91 42 52",http://lesfougerets.fr,mairie
mairie-56061-01,Mairie - La Gacilly,accueil@lagacilly.fr,"Adresse : Rue de l'Hôtel-de-Ville - BP 4,56204,La Gacilly Cedex | Tél : 02 99 08 10 18 | Fax : 02 99 08 25 38",http://www.la-gacilly.fr,mairie
mairie-56061-02,Mairie déléguée - Glénac,accueil.glenac@lagacilly.fr,"Adresse : Glénac - 1 place de la Mairie,56200,La Gacilly | Tél : 02 99 08 13 65 | Fax : 02 99 08 03 75",http://www.la-gacilly.fr,mairie
mairie-56061-03,Mairie déléguée - La Chapelle-Gaceline,accueil.chapelle@lagacilly.fr,"Adresse : La Chapelle-Gaceline - 23 rue Yves-Rocher,56200,La Gacilly | Tél : 02 99 08 12 80 | Fax : 02 99 08 06 83",http://www.lachapellegaceline.fr,mairie
mairie-56062-01,Mairie - Gâvres,mairie.gavres@orange.fr,"Adresse : Avenue des Sardiniers,56680,Gâvres | Tél : 02 97 82 46 55 | Fax : 02 97 82 13 89",http://www.gavres.fr,mairie
mairie-56063-01,Mairie - Gestel,mairie@gestel.fr,"Adresse : 1 place Colonel-Muller,56530,Gestel | Tél : 02 97 80 12 44 | Fax : 02 97 05 41 17",http://www.gestel.fr,mairie
mairie-56065-01,Mairie - Gourhel,mairie-gourhel@orange.fr,"Adresse : 17 rue de la Libération,56800,Gourhel | Tél : 02 97 74 00 45 | Fax : 02 97 73 35 81",https://www.ploermelcommunaute.bzh,mairie
mairie-56066-01,Mairie - Gourin,mairie@villedegourin.fr,"Adresse : 24 rue Jacques-Rodallec,56110,Gourin | Tél : 02 97 23 40 37 | Fax : 02 97 23 58 27",http://www.gourin.fr,mairie
mairie-56067-01,Mairie - Grand-Champ,mairie@grandchamp.fr,"Adresse : Place de la Mairie,56390,Grand-Champ | Tél : 02 97 66 77 11 | Fax : 02 97 66 41 69",http://www.grandchamp.fr,mairie
mairie-56068-01,Mairie - La Grée-Saint-Laurent,mairielagreestlaurent@wanadoo.fr,"Adresse : 10 rue de la Mairie,56120,La Grée-Saint-Laurent | Tél : 02 97 75 51 37 | Fax : 02 97 75 50 51",http://www.lagreesaintlaurent.fr,mairie
mairie-56069-01,Mairie - Groix,mairie@groix.fr,"Adresse : 13 place Joseph-Yvon,56590,Groix | Tél : 02 97 86 80 15 | Fax : 02 97 86 59 97",http://www.groix.fr,mairie
mairie-56070-01,Mairie - Guégon,mairie@guegon.fr,"Adresse : 1 place du Général-de-Gaulle,56120,Guégon | Tél : 02 97 22 20 64 | Fax : 02 97 22 30 63",http://www.guegon.fr/,mairie
mairie-56071-01,Mairie - Guéhenno,contact@guehenno.fr,"Adresse : 4 rue Nationale,56420,Guéhenno | Tél : 02 97 42 29 89 | Fax : 02 97 42 23 16",http://www.guehenno.fr,mairie
mairie-56072-01,Mairie - Gueltas,mairie-gueltas@wanadoo.fr,"Adresse : Place de la Résistance,56920,Gueltas | Tél : 02 97 51 53 34 | Fax : 02 97 38 93 03",http://www.gueltas.fr,mairie
mairie-56073-01,Mairie - Guémené-sur-Scorff,mairieguemene.surscorff@wanadoo.fr,"Adresse : Place du Château,56160,Guémené-sur-Scorff | Tél : 02 97 51 20 23 | Fax : 02 97 51 27 29",http://guemene-sur-scorff.com/,mairie
mairie-56074-01,Mairie - Guénin,commune-de-guenin@wanadoo.fr,"Adresse : 2 rue du Maneguen,56150,Guénin | Tél : 02 97 39 09 09 | Fax : 02 97 39 08 82",http://www.guenin56.fr,mairie
mairie-56075-01,Mairie - Guer,contactmairie@ville-guer.fr,"Adresse : Place de l'Hôtel-de-Ville - BP 36,56382,Guer Cedex | Tél : 02 97 22 57 00 | Fax : 02 97 22 57 20",http://www.ville-guer.fr,mairie
mairie-56076-01,Mairie - Guern,guern@orange.fr,"Adresse : 4 rue de la Vallée,56310,Guern | Tél : 02 97 27 70 08 | Fax : 02 97 27 70 26",http://guern.free.fr,mairie
mairie-56077-01,Mairie - Le Guerno,mairie.leguerno@wanadoo.fr,"Adresse : 4 rue de la Mairie,56190,Le Guerno | Tél : 02 97 42 94 76 | Fax : 02 97 42 84 36",http://www.leguerno.fr,mairie
mairie-56078-01,Mairie - Guidel,maire@mairie-guidel.fr,"Adresse : 11 place de Polignac,56520,Guidel | Tél : 02 97 02 96 96 | Fax : 02 97 65 09 36",http://www.guidel.com,mairie
mairie-56080-01,Mairie - Guilliers,mairieguilliers2@orange.fr,"Adresse : Rue de la Mairie - BP 1,56490,Guilliers | Tél : 02 97 74 40 15 | Fax : 02 97 74 46 07",,mairie
mairie-56081-01,Mairie - Guiscriff,mairie.guiscriff@gmail.com,"Adresse : Place de la Mairie,56560,Guiscriff | Tél : 02 97 34 00 56 | Fax : 02 97 34 06 46",http://www.guiscriff.fr,mairie
mairie-56082-01,Mairie - Helléan,mairiehellean@wanadoo.fr,"Adresse : Rue de Tihel,56120,Helléan | Tél : 02 97 93 52 78 | Fax : 02 97 93 64 87",,mairie
